# TESS Program G011113

Title: White Dwarf Variability In The Ecliptic South

PI: Hermes, JJ - University Of North Carolina

Type: Small

Summary: We propose observations with 2-min cadence of 815 known and high-probability white dwarfs in Cycle 1 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed photometry will also enable asteroseismology of dozens of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of stellar remnants. From both asteroseismology and spot modulation of magnetic white dwarfs we will significant expand the number of white dwarfs with measured rotation rates, putting strong constraints on the endpoints of angular momentum in stars.             


# Sector 001 targets observed (109)
425157104,58.4319,-0.0766,14.96,G011113;G011294;G011288
453835308,57.1307,0.771,15.23,G011113;G011294;G011288
9266461,62.759,-3.9736,15.93,G011113;G011294;G011203
213038303,74.931,-0.3787,15.28,G011113;G011294
248477455,78.0263,-0.7014,14.16,G011113;G011294
249040374,79.1111,-0.204,13.77,G011113
4068779,79.9548,-4.7166,15.36,G011113
455027125,76.4133,1.9746,15.51,G011113;G011294
455059853,77.1287,1.2776,15.43,G011113;G011294
455067277,77.4211,1.8856,15.53,G011113
455094685,77.558,4.6434,14.4,G011113;G011294
455094688,77.5564,4.6481,15.51,G011113
245834374,68.2939,13.7537,14.56,G011113;G011294
245858638,68.4379,12.7112,14.57,G011113;G011294
245938402,69.9705,15.3293,15.26,G011113;G011294
